"","x"
"1458",305248
"1459",305249
"1460",305250
"1461",305254
"1462",305255
"1463",305269
"1464",305270
"1465",305271
"1466",305272
"1467",305338
"1468",305340
"1469",305341
"1470",305345
"1471",305346
"1472",305360
"1473",305361
"1474",305362
"1475",305363
"1476",305432
"1477",305436
"1478",305437
"1479",305450
"1480",305451
"1481",305452
"1482",305453
"1483",305542
"1484",305813
"1485",309179
"1486",309613
"1487",309703
"1488",309709
"1489",309710
"1490",309726
"1491",309796
"1492",309798
"1493",309802
"1494",309886
"1495",309888
"1496",309889
"1497",309914
"1498",309974
"1499",309976
"1500",309977
"1501",309978
"1502",309980
"1503",310065
"1504",310066
"1505",310067
"1506",310069
"1507",310070
"1508",310071
"1509",310072
"1510",310155
"1511",310156
"1512",310157
"1513",310158
"1514",310159
"1515",310160
"1516",310161
"1517",310162
"1518",310185
"1519",310186
"1520",310247
"1521",310248
"1522",310250
"1523",310251
"1524",310252
"1525",310253
"1526",310276
"1527",310277
"1528",310278
"1529",310337
"1530",310338
"1531",310339
"1532",310341
"1533",310342
"1534",310343
"1535",310344
"1536",310367
"1537",310368
"1538",310369
"1539",310370
"1540",310428
"1541",310429
"1542",310432
"1543",310433
"1544",310434
"1545",310435
"1546",310436
"1547",310458
"1548",310459
"1549",310460
"1550",310461
"1551",310519
"1552",310520
"1553",310522
"1554",310523
"1555",310524
"1556",310525
"1557",310526
"1558",310527
"1559",310549
"1560",310550
"1561",310551
"1562",310552
"1563",310610
"1564",310613
"1565",310614
"1566",310615
"1567",310616
"1568",310617
"1569",310618
"1570",310640
"1571",310641
"1572",310642
"1573",310643
"1574",310644
"1575",310700
"1576",310701
"1577",310705
"1578",310706
"1579",310707
"1580",310708
"1581",310709
"1582",310732
"1583",310733
"1584",310734
"1585",310791
"1586",310792
"1587",310795
"1588",310796
"1589",310797
"1590",310798
"1591",310799
"1592",310800
"1593",310823
"1594",310824
"1595",310825
"1596",310826
"1597",310880
"1598",310881
"1599",310882
"1600",310886
"1601",310887
"1602",310888
"1603",310889
"1604",310890
"1605",310914
"1606",310915
"1607",310916
"1608",310917
"1609",310971
"1610",310972
"1611",310977
"1612",310978
"1613",310979
"1614",310980
"1615",310981
"1616",310982
"1617",311004
"1618",311006
"1619",311062
"1620",311063
"1621",311068
"1622",311069
"1623",311070
"1624",311071
"1625",311072
"1626",311096
"1627",311097
"1628",311153
"1629",311154
"1630",311158
"1631",311159
"1632",311160
"1633",311161
"1634",311162
"1635",311163
"1636",311189
"1637",311190
"1638",311191
"1639",311249
"1640",311250
"1641",311251
"1642",311252
"1643",311253
"1644",311281
"1645",311282
"1646",311338
"1647",311339
"1648",311340
"1649",311341
"1650",311342
"1651",311343
"1652",311344
"1653",311345
"1654",311372
"1655",311373
"1656",311427
"1657",311428
"1658",311429
"1659",311430
"1660",311431
"1661",311432
"1662",311433
"1663",311434
"1664",311436
"1665",311464
"1666",311512
"1667",311513
"1668",311514
"1669",311515
"1670",311516
"1671",311517
"1672",311518
"1673",311519
"1674",311520
"1675",311521
"1676",311522
"1677",311558
"1678",311604
"1679",311605
"1680",311606
"1681",311607
"1682",311608
"1683",311609
"1684",311610
"1685",311611
"1686",311612
"1687",311648
"1688",311649
"1689",311696
"1690",311697
"1691",311698
"1692",311699
"1693",311700
"1694",311701
"1695",311702
"1696",311703
"1697",311704
"1698",311740
"1699",311787
"1700",311788
"1701",311789
"1702",311790
"1703",311791
"1704",311792
"1705",311793
"1706",311831
"1707",311880
"1708",311881
"1709",311882
"1710",311883
"1711",311884
"1712",311921
"1713",311971
"1714",311972
"1715",311973
"1716",311974
"1717",311975
"1718",312012
"1719",312063
"1720",312064
"1721",312065
"1722",312155
"1723",313648
"1724",313649
"1725",313650
"1726",313705
"1727",313706
"1728",313726
"1729",313736
"1730",313738
"1731",313739
"1732",313740
"1733",313741
"1734",313796
"1735",313797
"1736",313798
"1737",313801
"1738",313802
"1739",313803
"1740",313810
"1741",313826
"1742",313827
"1743",313828
"1744",313829
"1745",313830
"1746",313831
"1747",313832
"1748",313887
"1749",313888
"1750",313889
"1751",313890
"1752",313892
"1753",313893
"1754",313894
"1755",313895
"1756",313898
"1757",313900
"1758",313902
"1759",313908
"1760",313909
"1761",313911
"1762",313912
"1763",313913
"1764",313915
"1765",313916
"1766",313917
"1767",313918
"1768",313919
"1769",313920
"1770",313921
"1771",313979
"1772",313980
"1773",313981
"1774",313982
"1775",313983
"1776",313984
"1777",313985
"1778",313986
"1779",313987
"1780",313988
"1781",313989
"1782",313990
"1783",313993
"1784",313999
"1785",314001
"1786",314002
"1787",314003
"1788",314004
"1789",314005
"1790",314006
"1791",314007
"1792",314008
"1793",314009
"1794",314010
"1795",314011
"1796",314070
"1797",314071
"1798",314072
"1799",314073
"1800",314074
"1801",314075
"1802",314076
"1803",314077
"1804",314078
"1805",314079
"1806",314080
"1807",314084
"1808",314089
"1809",314090
"1810",314091
"1811",314092
"1812",314093
"1813",314094
"1814",314095
"1815",314096
"1816",314097
"1817",314098
"1818",314099
"1819",314100
"1820",314101
"1821",314163
"1822",314164
"1823",314165
"1824",314166
"1825",314167
"1826",314168
"1827",314169
"1828",314170
"1829",314171
"1830",314175
"1831",314180
"1832",314181
"1833",314182
"1834",314184
"1835",314185
"1836",314186
"1837",314187
"1838",314188
"1839",314189
"1840",314190
"1841",314191
"1842",314192
"1843",314254
"1844",314255
"1845",314256
"1846",314257
"1847",314258
"1848",314259
"1849",314260
"1850",314261
"1851",314262
"1852",314263
"1853",314265
"1854",314266
"1855",314267
"1856",314271
"1857",314272
"1858",314273
"1859",314275
"1860",314276
"1861",314277
"1862",314278
"1863",314279
"1864",314280
"1865",314281
"1866",314282
"1867",314283
"1868",314345
"1869",314346
"1870",314347
"1871",314348
"1872",314349
"1873",314350
"1874",314351
"1875",314352
"1876",314353
"1877",314355
"1878",314356
"1879",314357
"1880",314358
"1881",314363
"1882",314364
"1883",314365
"1884",314367
"1885",314368
"1886",314369
"1887",314370
"1888",314371
"1889",314372
"1890",314373
"1891",314374
"1892",314434
"1893",314435
"1894",314436
"1895",314437
"1896",314438
"1897",314439
"1898",314440
"1899",314441
"1900",314442
"1901",314443
"1902",314444
"1903",314447
"1904",314448
"1905",314449
"1906",314454
"1907",314455
"1908",314456
"1909",314457
"1910",314458
"1911",314459
"1912",314460
"1913",314461
"1914",314462
"1915",314463
"1916",314464
"1917",314465
"1918",314466
"1919",314524
"1920",314525
"1921",314526
"1922",314527
"1923",314528
"1924",314529
"1925",314530
"1926",314531
"1927",314532
"1928",314533
"1929",314534
"1930",314535
"1931",314537
"1932",314538
"1933",314539
"1934",314540
"1935",314545
"1936",314546
"1937",314547
"1938",314549
"1939",314550
"1940",314551
"1941",314552
"1942",314553
"1943",314554
"1944",314555
"1945",314556
"1946",314557
"1947",314558
"1948",314614
"1949",314615
"1950",314616
"1951",314617
"1952",314618
"1953",314619
"1954",314620
"1955",314621
"1956",314622
"1957",314623
"1958",314624
"1959",314625
"1960",314626
"1961",314628
"1962",314629
"1963",314630
"1964",314631
"1965",314636
"1966",314637
"1967",314638
"1968",314639
"1969",314640
"1970",314641
"1971",314642
"1972",314643
"1973",314644
"1974",314645
"1975",314646
"1976",314647
"1977",314648
"1978",314649
"1979",314705
"1980",314706
"1981",314707
"1982",314708
"1983",314709
"1984",314710
"1985",314711
"1986",314712
"1987",314713
"1988",314714
"1989",314715
"1990",314716
"1991",314717
"1992",314718
"1993",314719
"1994",314720
"1995",314721
"1996",314722
"1997",314727
"1998",314728
"1999",314729
"2000",314730
"2001",314732
"2002",314733
"2003",314734
"2004",314735
"2005",314736
"2006",314737
"2007",314738
"2008",314739
"2009",314799
"2010",314800
"2011",314801
"2012",314802
"2013",314803
"2014",314804
"2015",314805
"2016",314806
"2017",314807
"2018",314809
"2019",314810
"2020",314811
"2021",314812
"2022",314818
"2023",314819
"2024",314820
"2025",314821
"2026",314824
"2027",314825
"2028",314826
"2029",314827
"2030",314828
"2031",314829
"2032",314891
"2033",314892
"2034",314893
"2035",314894
"2036",314895
"2037",314896
"2038",314897
"2039",314900
"2040",314901
"2041",314902
"2042",314903
"2043",314909
"2044",314910
"2045",314911
"2046",314912
"2047",314915
"2048",314916
"2049",314917
"2050",314918
"2051",314919
"2052",314920
"2053",314983
"2054",314984
"2055",314985
"2056",314986
"2057",314991
"2058",314992
"2059",314993
"2060",315000
"2061",315001
"2062",315002
"2063",315003
"2064",315004
"2065",315007
"2066",315008
"2067",315009
"2068",315010
"2069",315011
"2070",315074
"2071",315075
"2072",315076
"2073",315077
"2074",315078
"2075",315081
"2076",315082
"2077",315083
"2078",315084
"2079",315092
"2080",315093
"2081",315094
"2082",315095
"2083",315098
"2084",315099
"2085",315100
"2086",315101
"2087",315102
"2088",315162
"2089",315163
"2090",315164
"2091",315166
"2092",315167
"2093",315168
"2094",315169
"2095",315172
"2096",315173
"2097",315184
"2098",315185
"2099",315186
"2100",315188
"2101",315189
"2102",315190
"2103",315191
"2104",315192
"2105",315193
"2106",315194
"2107",315253
"2108",315256
"2109",315257
"2110",315258
"2111",315259
"2112",315260
"2113",315263
"2114",315264
"2115",315276
"2116",315277
"2117",315279
"2118",315280
"2119",315281
"2120",315282
"2121",315283
"2122",315284
"2123",315347
"2124",315348
"2125",315349
"2126",315352
"2127",315354
"2128",315355
"2129",315369
"2130",315370
"2131",315371
"2132",315372
"2133",315373
